Title,Date,Time,Link,Description
Taiwan dipilih destinasi pilihan Asia - MATTA,2023-03-03,11:02:00,https://www.sinarharian.com.my/article/247918/berita/nasional/taiwan-dipilih-destinasi-pilihan-asia---matta, KUALA LUMPUR - Taiwan dipilih sebagai destinasi pilihan Asia sempena Pameran Persatuan Ejen Pelancongan dan Pengembaraan Malaysia (MATTA) yang akan diadakan di Pusat Pameran dan Perdagangan Antarabangsa Malaysia (Mitec)... 
Anwar dedah perolehan vaksin tanpa persetujuan Peguam Negara,2023-02-08,15:35:00,https://www.sinarharian.com.my/article/244239/berita/nasional/anwar-dedah-perolehan-vaksin-tanpa-persetujuan-peguam-negara," PUTRAJAYA - [DIKEMAS KINI] Perdana Menteri Datuk Seri Anwar Ibrahim mendedahkan perolehan vaksin Covid-19 dan kos yang dimuktamadkan sebelum ini tidak mengikuti peraturan.Menurutnya, perolehan bagi vaksin itu telah... "
Rukun Tetangga: Tonggak perpaduan dalam komuniti,2022-11-17,11:08:00,https://www.sinarharian.com.my/article/231704/berita/nasional/rukun-tetangga-tonggak-perpaduan-dalam-komuniti," Ditubuhkan pada tahun 1975 oleh Perdana Menteri Malaysia Ke-2, Allahyarham Tun Abdul Razak Hussein tatkala Malaysia masih lagi berhadapan dengan pelbagai ancaman keselamatan, Skim Rukun Tetangga telah mengalami pelbagai... "
"KJ, Dr Noor Hisham disaman isu vaksin Covid-19",2022-11-16,17:41:00,https://www.sinarharian.com.my/article/231609/berita/nasional/kj-dr-noor-hisham-disaman-isu-vaksin-covid-19," SHAH ALAM - Sekumpulan rakyat Malaysia memfailkan saman terhadap kerajaan dan Kementerian Kesihatan Malaysia (KKM) khususnya menteri yang bertanggungjawab ke atas program vaksinasi negara, Khairy Jamaluddin Abu Bakar... "
Berita palsu antara punca masyarakat Melayu tolak vaksin,2022-02-28,13:45:00,https://www.sinarharian.com.my/article/190182/khas/covid-19/berita-palsu-antara-punca-masyarakat-melayu-tolak-vaksin," GEORGETOWN - Berita palsu yang disebarkan melalui aplikasi WhatsApp menjadi antara faktor masyarakat Melayu di Pulau Pinang menolak pemberian suntikan vaksin Covid-19 kepada anak mereka.Exco Agroteknologi dan... "
WHO jangka vaksin dapat diagihkan semua pada Februari,2021-01-12,13:25:00,https://www.sinarharian.com.my/article/118655/khas/covid-19/who-jangka-vaksin-dapat-diagihkan-semua-pada-februari, GENEVA - Pertubuhan Kesihatan Sedunia (WHO) pada Isnin menyeru komitmen semua pihak untuk tempoh 100 hari akan datang bagi memastikan vaksinasi Covid-19 terhadap pekerja kesihatan dan golongan berisiko tinggi di semua... 
Pelan Strategik Pengurusan Pandemik Nasional akan dilancar,2021-01-12,13:15:00,https://www.sinarharian.com.my/article/118664/berita/nasional/pelan-strategik-pengurusan-pandemik-nasional-akan-dilancar," PUTRAJAYA - Pelan Strategik Pengurusan Pandemik Nasional yang meliputi pengurusan pandemik termasuk wabak Covid-19 dengan menggunakan pendekatan menyeluruh untuk seluruh negara, akan dilancarkan dalam masa... "
Hentikan pertelingkahan politik demi rakyat: Pemuda Pas,2021-01-12,11:35:00,https://www.sinarharian.com.my/article/118636/berita/politik/hentikan-pertelingkahan-politik-demi-rakyat-pemuda-pas," SHAH ALAM - Pemuda Pas mengecam langkah yang dilakukan oleh ahli Parlimen yang boleh mencetuskan spekulasi terhadap keutuhan kerajaan Perikatan Nasional (PN).Ketuanya, Ir Khairil Nizam Khirudin menyeru pemimpin politik... "
Kaji semula strategi jangka panjang tangani Covid-19: Anwar,2021-01-12,09:51:00,https://www.sinarharian.com.my/article/118627/khas/covid-19/kaji-semula-strategi-jangka-panjang-tangani-covid-19-anwar," SHAH ALAM - Ketua Pembangkang, Datuk Seri Anwar Ibrahim menegaskan kerajaan perlu mengkaji dan memikirkan semula strategi jangka panjang yang digunakan bagi membendung penularan Covid-19.Beliau berkata, tindakan... "
Agong perkenan isytihar darurat sehingga 1 Ogos,2021-01-12,09:36:00,https://www.sinarharian.com.my/article/118625/berita/nasional/agong-perkenan-isytihar-darurat-sehingga-1-ogos," SHAH ALAM - [DIKEMASKINI] Yang di-Pertuan Agong, Al-Sultan Abdullah Riâ€™ayatuddin Al-Mustafa Billah Shah perkenan supaya Proklamasi Darurat dilaksanakan sehingga 1 Ogos depan atau satu tarikh lebih awal sebagai langkah... "
